,season_id,season_name
0,32477,Cymru Premier 20/21
232,24024,Cymru Premier 19/20
516,17652,Premier League 18/19
773,13536,Premier League 17/18
1022,11787,Premier League 16/17
1267,10400,Premier League 15/16
1467,8242,Premier League 14/15
1689,6365,Premier League 13/14
1903,24221,Regionalliga North 19/20
2347,17788,Regionalliga North 18/19
2815,13588,Regionalliga North 17/18
3258,11928,Regionalliga North 16/17
3679,10508,Regionalliga North 15/16
4081,8316,Regionalliga North 14/15
4495,6449,Regionalliga North 13/14
4870,29193,Regionalliga Northeast 20/21
5292,24141,Regionalliga Northeast 19/20
5717,17683,Regionalliga Northeast 18/19
6136,13526,Regionalliga Northeast 17/18
6532,11875,Regionalliga Northeast 16/17
6902,10444,Regionalliga Northeast 15/16
7266,8320,Regionalliga Northeast 14/15
7579,6421,Regionalliga Northeast 13/14
7912,29350,Regionalliga West 20/21
8403,24220,Regionalliga West 19/20
8875,17687,Regionalliga West 18/19
9279,13523,Regionalliga West 17/18
9678,11844,Regionalliga West 16/17
10115,10463,Regionalliga West 15/16
10536,8392,Regionalliga West 14/15
10919,6487,Regionalliga West 13/14
11320,29230,Regionalliga Southwest 20/21
11804,24120,Regionalliga Southwest 19/20
12228,17677,Regionalliga Southwest 18/19
12654,13511,Regionalliga Southwest 17/18
13057,11832,Regionalliga Southwest 16/17
13426,10439,Regionalliga Southwest 15/16
13810,8290,Regionalliga Southwest 14/15
14134,6413,Regionalliga Southwest 13/14
14444,23876,Regionalliga Bavaria 19/20
14922,17594,Regionalliga Bavaria 18/19
15302,13500,Regionalliga Bavaria 17/18
15742,11772,Regionalliga Bavaria 16/17
16168,10409,Regionalliga Bavaria 15/16
16576,8236,Regionalliga Bavaria 14/15
16963,6447,Regionalliga Bavaria 13/14
17398,28171,Regionalliga Playoffs 19/20
17430,23450,Regionalliga Playoffs 18/19
17459,16910,Regionalliga Playoffs 17/18
17474,26799,Eliteserien 2020
17871,19977,Eliteserien 2019
18273,15752,Eliteserien 2018
18658,12783,Eliteserien 2017
19072,11111,Eliteserien 2016
19463,9742,Eliteserien 2015
19870,7534,Eliteserien 2014
20280,5726,Eliteserien 2013
20649,26800,1st Division 2020
21062,20003,1st Division 2019
21392,15992,1st Division 2018
21702,13058,1st Division 2017
21984,11288,1st Divisjon 2016
22274,9744,1st Divisjon 2015
22547,7572,1st Divisjon 2014
